Currency,Rate,Inverse
Argentine Peso,1201.381067,0.000832
Australian Dollar,1.548779,0.64567
Bahraini Dinar,0.376,2.659574
Botswana Pula,13.565002,0.073719
Brazilian Real,5.706753,0.175231
Bruneian Dollar,1.289478,0.775507
Bulgarian Lev,1.725154,0.579658
Canadian Dollar,1.381709,0.723742
Chilean Peso,940.306457,0.001063
Chinese Yuan Renminbi,7.215621,0.138588
